Residue,Time,Num_Iterations
587816,6.2e-05,25000
226551,4.8e-05,25000
364648,4.6e-05,25000
1517872,5.2e-05,25000
1250560,4.3e-05,25000
104761,3.9e-05,25000
37861,5.5e-05,25000
28286,4.7e-05,25000
216509,4.6e-05,25000
9437,4.4e-05,25000
80795,4e-05,25000
174434,3.8e-05,25000
68604,5.1e-05,25000
382780,4.3e-05,25000
473968,4.4e-05,25000
107845,4.4e-05,25000
173513,4.7e-05,25000
22937,6.1e-05,25000
199918,4.5e-05,25000
14816,3.9e-05,25000
394356,5.1e-05,25000
284485,5.1e-05,25000
173580,4.5e-05,25000
37163,5.7e-05,25000
461501,3.5e-05,25000
102928,3.5e-05,25000
297610,3.4e-05,25000
248990,4.6e-05,25000
251404,5.4e-05,25000
369699,3.7e-05,25000
112269,4.1e-05,25000
166952,3.8e-05,25000
487421,4.4e-05,25000
399770,4.9e-05,25000
77165,4.3e-05,25000
7257,4.5e-05,25000
94707,6.1e-05,25000
423186,5.3e-05,25000
120689,4.2e-05,25000
557485,5.8e-05,25000
400962,4.7e-05,25000
248335,5.4e-05,25000
15527,4.1e-05,25000
100649,5.4e-05,25000
225558,4.7e-05,25000
76079,3.9e-05,25000
206510,4.6e-05,25000
219860,4.9e-05,25000
163101,5e-05,25000
159634,4.8e-05,25000
175756,4e-05,25000
491152,4e-05,25000
54978,4.7e-05,25000
82442,4.4e-05,25000
233521,7.1e-05,25000
42865,5.4e-05,25000
54730,4.7e-05,25000
286647,4.4e-05,25000
161673,4.9e-05,25000
214260,4.9e-05,25000
27957,6.1e-05,25000
242657,3.7e-05,25000
38743,4.1e-05,25000
6288,3.8e-05,25000
745918,5.4e-05,25000
106141,3.8e-05,25000
655222,4.5e-05,25000
2503,0.000117,25000
182319,3.5e-05,25000
37472,5.1e-05,25000
72939,3.8e-05,25000
119143,4.3e-05,25000
510779,5.5e-05,25000
9679,3.7e-05,25000
3923155,3.8e-05,25000
194659,4.2e-05,25000
147333,4.1e-05,25000
188998,3.7e-05,25000
21298,4.5e-05,25000
185686,5.3e-05,25000
69388,6.3e-05,25000
30710,3.5e-05,25000
435843,5.7e-05,25000
137355,5e-05,25000
1200791,5e-05,25000
81214,5.7e-05,25000
18172,4.4e-05,25000
77867,3.7e-05,25000
512567,4.6e-05,25000
25819,4.6e-05,25000
22437,4.9e-05,25000
58282,5.1e-05,25000
103198,4.3e-05,25000
57204,5.7e-05,25000
1625,4.6e-05,25000
64256,4.9e-05,25000
31556,4.4e-05,25000
508815,3.9e-05,25000
28130,4.8e-05,25000
47614,5.5e-05,25000
