Residue,Time,Num_Iterations
1220,0.837296,25000
309,0.907488,25000
1550,0.921236,25000
748,0.842496,25000
620,0.822708,25000
109,0.796774,25000
7049,0.854248,25000
100,0.804775,25000
1803,0.832102,25000
153,0.785866,25000
349,0.822735,25000
432,0.826657,25000
196,0.806615,25000
2006,0.830699,25000
202,0.819424,25000
117,0.855225,25000
777,0.898156,25000
221,0.845086,25000
228,0.910026,25000
232,0.829924,25000
10,0.82115,25000
83,0.848083,25000
1046,0.82701,25000
233,0.869085,25000
213,0.822343,25000
154,0.846842,25000
3086,0.857725,25000
944,0.862744,25000
412,0.834002,25000
639,0.819008,25000
489,0.850189,25000
788,0.836226,25000
943,0.823431,25000
10,0.834489,25000
671,0.843773,25000
409,0.881365,25000
1281,0.871876,25000
304,0.870092,25000
111,0.883838,25000
3907,0.828465,25000
116,0.837557,25000
1261,0.838945,25000
95,0.839625,25000
101,0.818629,25000
1312,0.848661,25000
307,0.864879,25000
1666,0.827087,25000
44,0.811389,25000
601,0.875517,25000
128,0.922527,25000
296,0.843354,25000
1198,0.861879,25000
398,1.05651,25000
1072,0.858244,25000
13,0.821758,25000
221,0.83364,25000
424,1.00958,25000
415,0.815706,25000
139,0.87358,25000
956,0.852748,25000
529,0.837691,25000
157,0.904552,25000
321,0.866482,25000
1086,0.822221,25000
366,0.802695,25000
331,0.825636,25000
496,0.853328,25000
473,0.850711,25000
165,0.844076,25000
46,0.867483,25000
657,0.842475,25000
39,0.878537,25000
195,0.823158,25000
639,0.813872,25000
1199,0.817629,25000
375,0.867551,25000
587,0.857443,25000
60,0.858111,25000
404,0.860785,25000
166,1.00597,25000
292,0.801338,25000
850,0.868798,25000
1907,0.872454,25000
1321,0.906488,25000
179,0.894211,25000
38,0.840147,25000
628,0.823764,25000
169,0.906339,25000
463,0.860202,25000
593,0.873323,25000
41,1.04615,25000
632,0.87622,25000
180,0.832481,25000
270,0.857589,25000
469,0.953746,25000
2066,0.84604,25000
1316,0.791313,25000
879,0.801692,25000
292,0.801731,25000
166,0.843481,25000
