Residue,Time,Num_Iterations
146,1.29431,25000
202,1.00082,25000
49,0.996494,25000
3,1.03844,25000
17,0.996672,25000
111,0.968955,25000
897,1.12347,25000
319,0.97634,25000
291,1.07386,25000
43,1.10949,25000
33,1.17958,25000
36,1.10067,25000
28,1.05798,25000
532,0.994951,25000
258,1.03404,25000
105,1.13717,25000
127,1.1844,25000
941,1.12861,25000
180,1.03732,25000
112,1.05618,25000
27,1.01719,25000
227,1.1395,25000
336,1.01019,25000
81,1.09614,25000
43,0.999335,25000
2,1.18951,25000
78,1.08198,25000
309,1.04561,25000
389,1.11892,25000
361,1.04913,25000
331,1.17591,25000
53,0.958375,25000
65,1.1189,25000
93,1.069,25000
405,0.968319,25000
172,0.957552,25000
67,1.00256,25000
50,0.950066,25000
117,1.01311,25000
42,0.963109,25000
29,0.955684,25000
106,0.947618,25000
37,0.973177,25000
136,0.968632,25000
35,0.983479,25000
46,0.976066,25000
2,0.968445,25000
35,0.988601,25000
207,1.10258,25000
10,1.00938,25000
18,0.969494,25000
27,0.94295,25000
148,0.936113,25000
397,0.935463,25000
160,0.95704,25000
74,0.970109,25000
15,1.00837,25000
150,1.01078,25000
43,0.962592,25000
212,0.95138,25000
9,0.947084,25000
488,0.948295,25000
46,0.969066,25000
38,0.946218,25000
140,0.972125,25000
20,1.03075,25000
263,0.969758,25000
22,0.953278,25000
83,0.945338,25000
575,0.95836,25000
56,0.971112,25000
4,0.944039,25000
11,0.995197,25000
32,1.00772,25000
14,0.975299,25000
280,1.01984,25000
14,0.991241,25000
127,0.975876,25000
27,0.977036,25000
105,0.947381,25000
38,0.955367,25000
281,0.950465,25000
211,0.968374,25000
744,1.12076,25000
16,0.987758,25000
42,0.971191,25000
165,0.991708,25000
52,0.965165,25000
106,0.969433,25000
92,0.977241,25000
169,1.04929,25000
190,1.08915,25000
197,1.0211,25000
14,0.986677,25000
21,1.00337,25000
132,1.00318,25000
459,0.966492,25000
97,0.987495,25000
7,0.946998,25000
14,0.983446,25000
