Residue, Time, Num_Iterations
196,1.22826,25000
335,1.25183,25000
20,1.22931,25000
66,1.28562,25000
177,1.14894,25000
186,1.16311,25000
137,1.18044,25000
100,1.20961,25000
57,1.17081,25000
168,1.16927,25000
7,1.19676,25000
330,1.21561,25000
60,1.21076,25000
344,1.2339,25000
387,1.22939,25000
320,1.30182,25000
281,1.36795,25000
186,1.2827,25000
40,1.22701,25000
106,1.18056,25000
317,1.27619,25000
56,1.37938,25000
400,1.18986,25000
37,1.24659,25000
178,1.20311,25000
12,1.28202,25000
38,1.31969,25000
5,1.2211,25000
67,1.15181,25000
32,1.31111,25000
1,1.14125,25000
18,1.2347,25000
352,1.19616,25000
31,1.20053,25000
146,1.21094,25000
74,1.20241,25000
24,1.20772,25000
208,1.16339,25000
255,1.15527,25000
211,1.20457,25000
98,1.28004,25000
297,1.3885,25000
79,1.18653,25000
77,1.13878,25000
40,1.19325,25000
176,1.2135,25000
16,1.37551,25000
85,1.32207,25000
2,1.22828,25000
1,1.20848,25000
